# VARCHAR to TEXT Changes Tracking File
# Format: table_name.column_name | old_type | new_type
# Total changes: 151

media_storage.mime_type | VARCHAR(100) | TEXT
media_storage.storage_bucket | VARCHAR(100) | TEXT
media_storage.encryption_key_id | VARCHAR(100) | TEXT
users.cognito_user_id | VARCHAR(100) | TEXT
users.cognito_username | VARCHAR(100) | TEXT
personas.place_of_birth | VARCHAR(255) | TEXT
personas.occupation | VARCHAR(255) | TEXT
personas.employer | VARCHAR(255) | TEXT
personas.profile_photo_url | VARCHAR(500) | TEXT
fwd_family_circles.name | VARCHAR(255) | TEXT
fwd_family_circles.family_photo_url | VARCHAR(500) | TEXT
phone_number.carrier_name | VARCHAR(100) | TEXT
email_address.email_address | VARCHAR(255) | TEXT
email_address.domain | VARCHAR(255) | TEXT
address.address_line_1 | VARCHAR(255) | TEXT
address.address_line_2 | VARCHAR(255) | TEXT
address.city | VARCHAR(100) | TEXT
address.state_province | VARCHAR(100) | TEXT
social_media.platform_user_id | VARCHAR(255) | TEXT
social_media.username | VARCHAR(255) | TEXT
social_media.profile_url | VARCHAR(500) | TEXT
social_media.display_name | VARCHAR(255) | TEXT
contact_info.company_name | VARCHAR(255) | TEXT
contact_info.contact_name | VARCHAR(255) | TEXT
contact_info.title | VARCHAR(255) | TEXT
contact_info.website | VARCHAR(500) | TEXT
contact_info.license_number | VARCHAR(100) | TEXT
user_roles.name | VARCHAR(100) | TEXT
user_permissions.name | VARCHAR(100) | TEXT
user_permissions.resource | VARCHAR(100) | TEXT
ffc_invitations.invitee_name | VARCHAR(255) | TEXT
invitation_verification_attempts.failure_reason | VARCHAR(100) | TEXT
asset_categories.name | VARCHAR(100) | TEXT
asset_persona.legal_title | VARCHAR(500) | TEXT
personal_directives.directive_subtype | VARCHAR(100) | TEXT
personal_directives.agent_name | VARCHAR(255) | TEXT
personal_directives.successor_agent_1_name | VARCHAR(255) | TEXT
personal_directives.successor_agent_2_name | VARCHAR(255) | TEXT
personal_directives.county_of_execution | VARCHAR(100) | TEXT
trusts.trust_name | VARCHAR(255) | TEXT
trusts.grantor_name | VARCHAR(255) | TEXT
trusts.trustee_name | VARCHAR(255) | TEXT
trusts.successor_trustee_1_name | VARCHAR(255) | TEXT
trusts.successor_trustee_2_name | VARCHAR(255) | TEXT
wills.testator_name | VARCHAR(255) | TEXT
wills.executor_name | VARCHAR(255) | TEXT
wills.successor_executor_1_name | VARCHAR(255) | TEXT
wills.successor_executor_2_name | VARCHAR(255) | TEXT
wills.will_type | VARCHAR(100) | TEXT
wills.county_of_execution | VARCHAR(100) | TEXT
wills.witness_1_name | VARCHAR(255) | TEXT
wills.witness_2_name | VARCHAR(255) | TEXT
personal_property.property_subtype | VARCHAR(100) | TEXT
personal_property.item_name | VARCHAR(255) | TEXT
personal_property.brand_manufacturer | VARCHAR(255) | TEXT
personal_property.model_style | VARCHAR(255) | TEXT
personal_property.serial_number | VARCHAR(255) | TEXT
personal_property.dimensions | VARCHAR(255) | TEXT
personal_property.weight | VARCHAR(100) | TEXT
personal_property.color | VARCHAR(100) | TEXT
personal_property.storage_location_detail | VARCHAR(255) | TEXT
personal_property.insurance_company | VARCHAR(255) | TEXT
personal_property.insurance_policy_number | VARCHAR(100) | TEXT
personal_property.pet_name | VARCHAR(100) | TEXT
personal_property.pet_breed | VARCHAR(100) | TEXT
operational_property.property_subtype | VARCHAR(100) | TEXT
operational_property.make | VARCHAR(255) | TEXT
operational_property.model | VARCHAR(255) | TEXT
operational_property.vin_hull_serial | VARCHAR(255) | TEXT
operational_property.registration_number | VARCHAR(100) | TEXT
operational_property.storage_location_detail | VARCHAR(255) | TEXT
operational_property.insurance_company | VARCHAR(255) | TEXT
operational_property.insurance_policy_number | VARCHAR(100) | TEXT
operational_property.loan_account_number | VARCHAR(100) | TEXT
operational_property.loan_institution | VARCHAR(255) | TEXT
inventory.inventory_type | VARCHAR(100) | TEXT
inventory.category | VARCHAR(100) | TEXT
